Product Name,Processor,RAM,Storage,Operating System,Display,Warranty,Price,Original Price,Discount,Rating,Number of Ratings,Number of Reviews,Image URL,Product Link
Lenovo ThinkBook 16 G6 Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) ThinkBook 16 G...,Intel Core i3 Processor (13th Gen),8 GB DDR5 RAM,512 GB SSD,Windows 11 Operating System,40.64 cm (16 Inch) Display,1 Year Onsite warranty,"39,990","73,800",45,4.3,229,27,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/4/v/y/-original-imah4dcjrrs8nzta.jpeg?q=70,https://www.flipkart.com/lenovo-thinkbook-16-g6-intel-core-i3-13th-gen-1315u-8-gb-512-gb-ssd-windows-11-home-irl-5-thin-light-laptop/p/itmd7e1aca8d63e9?pid=COMGZGWUG25DHHWB&lid=LSTCOMGZGWUG25DHHWBIJL9SN&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_1&otracker=search&otracker1=search&iid=en_pXa8_w-ebATcRPemtSrHcBLSC3szdNxkfrp9321zI_TkCmz12SQeuvNFj5gWAzrf9JczFBWEnqdjpHdnXW8BnPUFjCTyOHoHZs-Z5_PS_w0%3D&ssid=8vtb4m2vsg0000001737048052315&qH=312f91285e048e09
AXL Intel Celeron Dual Core - (4 GB/256 GB SSD/Windows 11 Home) 15W_LAP02 Thin and Light Laptop,Intel Celeron Dual Core Processor,4 GB DDR4 RAM,256 GB SSD,Windows 11 Home Operating System,39.62 cm (15.6 inch) Display,No Warranty,"16,990","33,990",50,3.6,36,0,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/6/x/5/vayu-book-thin-and-light-laptop-axl-original-imagq42brczpgczx.jpeg?q=70,https://www.flipkart.com/axl-intel-celeron-dual-core-4-gb-256-gb-ssd-windows-11-home-15w-lap02-thin-light-laptop/p/itm50377e8d175f3?pid=COMGTFYWGDHXDKWN&lid=LSTCOMGTFYWGDHXDKWN1UQRIH&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_2&otracker=search&otracker1=search&iid=en_pXa8_w-ebATcRPemtSrHcBLSC3szdNxkfrp9321zI_TeHwIssHrUXfXUdgtRwUlOHILqMVdeSBptbe08f-itmQ%3D%3D&ssid=8vtb4m2vsg0000001737048052315&qH=312f91285e048e09
Lenovo Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) G3 IAP Thin and Light Laptop,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD,Windows 11 Home Operating System,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,"40,990","88,414",53,No Rating,No Ratings Count,No Reviews Count,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/h/e/g/v15-thin-and-light-laptop-lenovo-original-imah86y2fsvhjvex.jpeg?q=70,https://www.flipkart.com/lenovo-intel-core-i5-12th-gen-1235u-8-gb-512-gb-ssd-windows-11-home-g3-iap-thin-light-laptop/p/itm930d2b10f8362?pid=COMH7NDQBYSCBGNF&lid=LSTCOMH7NDQBYSCBGNFWMBLWO&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_11&otracker=search&otracker1=search&iid=en_pXa8_w-ebATcRPemtSrHcBLSC3szdNxkfrp9321zI_TBLKMYs66rY0_VsAArXogO5cFzEO9cZeJjYvGvQ8Cs4A%3D%3D&ssid=8vtb4m2vsg0000001737048052315&qH=312f91285e048e09
SAMSUNG Galaxy Book4 Intel Core i7 13th Gen 1355U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ-KG3IN ...,Intel Core i7 Processor (13th Gen),16 GB LPDDR4X RAM,512 GB SSD,Windows 11 Operating System,39.62 cm (15.6 Inch) Display,1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories,"66,990","89,689",25,4.4,225,77,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/g/y/j/-original-imah3xrqppxmnzcv.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-book4-intel-core-i7-13th-gen-1355u-16-gb-512-gb-ssd-windows-11-home-np750xgj-kg3in-np750xgj-lg3in-thin-light-laptop/p/itm820dc496ef160?pid=COMGZUYDYPUZAAXD&lid=LSTCOMGZUYDYPUZAAXDBMAOEF&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&spotlightTagId=BestsellerId_6bo%2Fb5g&srno=s_1_12&otracker=search&otracker1=search&iid=cd231a70-ae00-46d8-9c45-f789f1ae1331.COMGZUYDYPUZAAXD.SEARCH&ssid=8vtb4m2vsg0000001737048052315&qH=312f91285e048e09
Acer Aspire 3 Intel Celeron Dual Core N4500 - (8 GB/256 GB SSD/Windows 11 Home) A325-45 Thin and Light...,Intel Celeron Dual Core Processor,8 GB LPDDR4X RAM,256 GB SSD,Windows 11 Operating System,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,"21,990","29,990",26,4.1,787,74,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/d/6/p/-original-imah3yhqcgjtxfhw.jpeg?q=70,https://www.flipkart.com/acer-aspire-3-intel-celeron-dual-core-n4500-8-gb-256-gb-ssd-windows-11-home-a325-45-thin-light-laptop/p/itm9ca67a1a3ea22?pid=COMH2TPSHCGYHHH8&lid=LSTCOMH2TPSHCGYHHH8QDXGYW&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_13&otracker=search&otracker1=search&iid=cd231a70-ae00-46d8-9c45-f789f1ae1331.COMH2TPSHCGYHHH8.SEARCH&ssid=8vtb4m2vsg0000001737048052315&qH=312f91285e048e09
Acer Aspire 3 Intel Core i3 13th Gen 1305U - (8 GB/512 GB SSD/Windows 11 Home) A324-53 Thin and Light ...,Intel Core i3 Processor (13th Gen),8 GB DDR4 RAM,512 GB SSD,Windows 11 Operating System,35.56 cm (14 Inch) Display,1 Year Carry-in Warranty,"28,990","49,999",42,4.2,614,58,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/j/6/c/-original-imah8gg2x4afkpxe.jpeg?q=70,https://www.flipkart.com/acer-aspire-3-intel-core-i3-13th-gen-1305u-8-gb-512-gb-ssd-windows-11-home-a324-53-thin-light-laptop/p/itm8ee8940f63aa8?pid=COMH4B6CGTPNVJW9&lid=LSTCOMH4B6CGTPNVJW9JOF4ZC&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_14&otracker=search&otracker1=search&iid=cd231a70-ae00-46d8-9c45-f789f1ae1331.COMH4B6CGTPNVJW9.SEARCH&ssid=8vtb4m2vsg0000001737048052315&qH=312f91285e048e09
HP 15s AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) 15-fc0026AU Thin and Light Lapt...,AMD Ryzen 3 Quad Core Processor,8 GB LPDDR5 RAM,512 GB SSD,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,"31,990","46,577",31,4.3,301,35,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/w/d/j/-original-imah4qshndzz3ah7.jpeg?q=70,https://www.flipkart.com/hp-15s-amd-ryzen-3-quad-core-7320u-8-gb-512-gb-ssd-windows-11-home-15-fc0026au-thin-light-laptop/p/itm4e6d85f618393?pid=COMGZNSBMUR7S8WY&lid=LSTCOMGZNSBMUR7S8WYYVX0NP&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_15&otracker=search&otracker1=search&iid=cd231a70-ae00-46d8-9c45-f789f1ae1331.COMGZNSBMUR7S8WY.SEARCH&ssid=8vtb4m2vsg0000001737048052315&qH=312f91285e048e09
"Acer Aspire 3 with Backlit Keyboard, Intel Core i5 12th Gen 1235U - (16 GB/1 TB SSD/Windows 11 Home) A...",Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,1 TB SSD,Windows 11 Operating System,35.56 cm (14 Inch) Display,1 Year Carry-in Warranty,"45,990","69,990",34,4.1,304,163,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/5/m/s/a324-51-thin-and-light-laptop-acer-original-imah4fuzguysh6na.jpeg?q=70,https://www.flipkart.com/acer-aspire-3-backlit-keyboard-intel-core-i5-12th-gen-1235u-16-gb-1-tb-ssd-windows-11-home-a324-51-thin-light-laptop/p/itm4fa0fcf0e2e15?pid=COMH3BHHZQ4RABFJ&lid=LSTCOMH3BHHZQ4RABFJWYL936&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_16&otracker=search&otracker1=search&iid=cd231a70-ae00-46d8-9c45-f789f1ae1331.COMH3BHHZQ4RABFJ.SEARCH&ssid=8vtb4m2vsg0000001737048052315&qH=312f91285e048e09
Thomson NEO Core Series Intel Core i3 12th Gen 1215U - (8 GB/256 GB SSD/Windows 11 Home) IN-N15I Thin ...,Intel Core i3 Processor (12th Gen),8 GB LPDDR4 RAM,256 GB SSD,Windows 11 Operating System,39.62 cm (15.6 inch) Display,1 Year Onsite warranty,"20,990","39,990",47,3.7,18,2,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/k/k/t/-original-imah3gydt2hmerny.jpeg?q=70,https://www.flipkart.com/thomson-neo-core-series-intel-i3-12th-gen-1215u-8-gb-256-gb-ssd-windows-11-home-in-n15i-thin-light-laptop/p/itm707312182fa98?pid=COMGXXF2YKRHDTTU&lid=LSTCOMGXXF2YKRHDTTUZ4S2OV&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_17&otracker=search&otracker1=search&iid=cd231a70-ae00-46d8-9c45-f789f1ae1331.COMGXXF2YKRHDTTU.SEARCH&ssid=8vtb4m2vsg0000001737048052315&qH=312f91285e048e09
Thomson NEO Core Series Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) IN-N15I Thin ...,Intel Core i3 Processor (12th Gen),8 GB LPDDR4 RAM,512 GB SSD,Windows 11 Operating System,39.62 cm (15.6 inch) Display,1 Year Onsite warranty,"19,990","44,990",55,3.7,18,2,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/k/k/t/-original-imah3gydt2hmerny.jpeg?q=70,https://www.flipkart.com/thomson-neo-core-series-intel-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-in-n15i-thin-light-laptop/p/itm707312182fa98?pid=COMGXXF2QXYGZUH6&lid=LSTCOMGXXF2QXYGZUH6LPVXQJ&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&spotlightTagId=TrendingId_6bo%2Fb5g&srno=s_1_18&otracker=search&otracker1=search&iid=cd231a70-ae00-46d8-9c45-f789f1ae1331.COMGXXF2QXYGZUH6.SEARCH&ssid=8vtb4m2vsg0000001737048052315&qH=312f91285e048e09
